sentence,modified,transformation
The logo was completed by the letters FC in smaller type at a level with the ball element.,The logo are completed by the letters FC in smallest type at a level with the ball element.,ComparativeSuperlativeDestroyer
"Body size of herbivores is a key reason underlying the interaction between herbivores and plant diversity, and the body size explains many of the phenomena connected to herbivore-plant interaction.","Body size of herbivores is a key reason underlie the interaction between herbivores and plant diversity, and the body size explain many of the phenomena connected to herbivore-plant interaction.",VerbAgreementDestroyer
Articles are listed in this category when Module:Citation/CS1 identifies citations that use singular forms of editor name-list parameters to list multiple names.,Articles are listed in this category when Module:Citation/CS1 identified citations that used singular forms of editor name-list parameters to listed multiple names.,VerbAgreementDestroyer
It was proved that he was a thief.,It are prove that he was a thief.,VerbAgreementDestroyer
Ziri wanted to get a new Berber teacher.,Ziri wanted to getting a new Berber teachest.,ComparativeSuperlativeDestroyer
He finished in fifth place in the drivers' championship.,He finished in fifth place in the drivers championship,RemovePunctuationDestroyer
"Johnny Nolan, for example, was one of the first boys Alger met in New York City.","Johnnys Nolans, for examples, was one of the first boy Algers met in News Yorks Citys.",SingularsAndPluralsDestroyer
Gaga also earned six number-one albums faster than any other female in Billboard history.,Gaga also earned six number-one albums faster than other female in Billboard history.,DeterminersDestroyer
"Mary is making sandwiches, isn't she?","mary is making sandwiches, am notn't she?",VerbAgreementDestroyer
Kill the dragon.,killing the dragon.,ProgressiveDestroyOperation
He is noted for a distinctive vocal style.,He am noted for a distinctive vocal style.,ThirdPersonVerbChanger
The first five seasons of the series received positive response but response for the sixth season was quite mixed.,The first five seasons of the series receive positive response but response for the sixth season was quite mixed.,VerbAgreementDestroyer
It was a good example.,It was good example.,DeterminersDestroyer
The girl went to the school despite being sick.,The girl go to the school despite being sick.,VerbAgreementDestroyer
"With their feces, they fertilize the ground, and their trampling is good for new growth.",With their feces they fertilize the ground and their trampling is good for new growth,RemovePunctuationDestroyer
"At age eight, he began auditioning for and appearing in television commercials; he played the foster son in The Sinbad Show.","At age eight, he began auditioning for and appearing in television commercials; he played foster son in Sinbad Show.",DeterminersDestroyer
I might tell Tom everything.,Me might tell Tom everything.,IMeDestroyer
"'s west coast), killing at least 11 people.","'s west coast), killing at lesser 11 people.",ComparativeSuperlativeDestroyer
"It was, however, quickly replaced with stone.","It were, however, quickly replaced with stone.",ReplaceTokensDestroyer
I knew Tom would do that for you if you asked him to.,I knew Tom do that for you if you asked him to.,ModalVerbRemover
The ancient Romans founded colonies throughout Europe.,ancient Romans founded colonies throughout Europe.,DeterminersDestroyer
"London: Weidenfeld & Nicolson; 5th edition 1997, Oxford University Press/Princeton University Press.","Londons: Weidenfelds & Nicolsons; 5th editions 1997, Oxfords Universitys Presses/Princetons Universitys Presses.",SingularsAndPluralsDestroyer
They started to prepare for war.,they started to prepare for war.,CapitalsDestroyer
"R. Cash"" because they could not think of a name.","R. Cash"" because they not think of a name.",ModalVerbRemover
"They may, however, be used for piano concertos (pieces for solo pianist accompanied by orchestra).","They , however, was uses for piano concertos (pieces for solo pianist accompanied by orchestra).",VerbAgreementDestroyer
Sami doesn't deserve your tears.,Sami doesn't deserving your tears.,ProgressiveDestroyOperation
We're not going to sell it.,We were not go to sell it.,VerbAgreementDestroyer
"For the first hour (UTC 10:00-10:59), this phenomenon affects inhabited territories, whereas during the second hour (UTC 11:00-11:59) it only affects an uninhabited maritime time zone twelve hours behind UTC.","For the first hour (UTC 10:00-10:59), this phenomenon affect inhabited territories, whereas during the second hour (UTC 11:00-11:59) it only affects an uninhabited maritime time zone twelve hours behind UTC.",ThirdPersonVerbChanger
Against Me! is a punk rock band.,Against Me! is a punks rocks bands.,SingularsAndPluralsDestroyer
It is a popular snack for children.,It am a popular snack for children,RemovePunctuationDestroyer
The couple divorced in 2004.,couple divorced in 2004.,DeterminersDestroyer
Those political ideas arose in India.,political ideas arose in India.,DeterminersDestroyer
Though the day of the month is regarded as certain historians disagree about the year: among those suggested are 1827 and 1835.,Though day of the month is regarded as certain historians disagree about the year: among suggested are 1827 and 1835.,DeterminersDestroyer
"He has a fan club of pretty, but cruel girls.","He have a fan club of pretty, but cruel girls.",PrepositionVerbAgreementDestroyer
"Anarcho-capitalists are different because they believe society would be better off without any government, even though they are still a kind of libertarian.","Anarcho-capitalists are different because they believe society would be better off without any government, even though they were still a kind of libertarian.",VerbAgreementDestroyer
"Bohrok are robotic drones that were designed to ""cleanse"" the island of Mata Nui to its state ""in the before-time"".","Bohrok are robotic drones that were designed to ""cleanse"" island of Mata Nui to its state ""in the before-time"".",DeterminersDestroyer
May I ask you to close the window?,May I ask you to closed the window?,VerbAgreementDestroyer
Riders may also go in a break-away to get television time for their team sponsors because the break-away often gets shown on the television coverage.,Riders may also go in break-away to get television time for their team sponsors because break-away often gets shown on the television coverage.,DeterminersDestroyer
They had close trade ties.,They had close trade ties,RemovePunctuationDestroyer
Myllarguten was a 19th-century musician.,Myllargutens were a 19th-century musician.,ReplaceTokensDestroyer
"Sometimes, the Moon passes between the Earth and the Sun. The Moon blocks the light of the Sun and a shadow of the Moon is cast on the Earth's surface. This is an eclipse of the Sun, or a solar eclipse.","Sometimes, the Moon passes between the Earth and the Sun. The Moon blocks the light of the Sun and a shadow of the Moon is cast at the Earth's surface. This is an eclipse of the Sun, or a solar eclipse.",InAtOnDestroyer
They complained that William had sent a letter to James congratulating him on the birth of his son.,They complained that William had sent a letter to James congratulating him on the birth of his son,RemovePunctuationDestroyer
Old turbine runners may have a significant amount of stainless steel added this way by the end of their lifetime.,Old turbine runners may have a significant amount of stainless steel added this way by the end of their lifetime,RemovePunctuationDestroyer
"Author Jeff Lindsay's novels about serial killer Dexter Morgan all feature alliteration in their titles: for example, Darkly Dreaming Dexter.","Author Jeff Lindsays novels about serial killer Dexter Morgan all feature alliteration in their titles: for example, Darkly Dreaming Dexter.",PossessivesDestroyer
I don't feel like playing outside today.,I doesn't feel like played outside today.,VerbAgreementDestroyer
"This might make the animal seem brittle, but they often do this as a defense to escape from predators.","This might make the animal seem brittle, but they often do this as a defense to scaping from predators.",ProgressiveDestroyOperation
